ID,Name
0cjs7,Garden Asparagus
0c_jw,Furniture
0cl4p,Hedgehog
0cmf2,Airplane
0cmx8,Spoon
0cn6p,Otter
0cnyhnx,Bull
0_cp5,Oyster
0cqn2,Horizontal bar
0crjs,Convenience store
0ct4f,Bomb
0cvnqh,Bench
0cxn2,Ice cream
0cydv,Caterpillar
0cyf8,Butterfly
0cyfs,Parachute
0cyhj_,Orange
0czz2,Antelope
0d20w4,Beaker
0d_2m,Moths and butterflies
0d4v4,Window
0d4w1,Closet
0d5gx,Castle
0d8zb,Jellyfish
0dbvp,Goose
0dbzx,Mule
0dftk,Swan
0dj6p,Peach
0djtd,Coconut
0dkzw,Seat belt
0dq75,Raccoon
0_dqb,Chisel
0dt3t,Fork
0dtln,Lamp
0dv5r,Camera
0dv77,Squash (Plant)
0dv9c,Racket
0dzct,Human face
0dzf4,Human arm
0f4s2w,Vegetable
0f571,Diaper
0f6nr,Unicycle
0f6wt,Falcon
0f8s22,Chime
0f9_l,Snail
0fbdv,Shellfish
0fbw6,Cabbage
0fj52s,Carrot
0fldg,Mango
0fly7,Jeans
0fm3zh,Flowerpot
0fp6w,Pineapple
0fqfqc,Drawer
0fqt361,Stool
0frqm,Envelope
0fszt,Cake
0ft9s,Dragonfly
0ftb8,Common sunflower
0fx9l,Microwave oven
0fz0h,Honeycomb
0gd2v,Marine mammal
0gd36,Sea lion
0gj37,Ladybug
0gjbg72,Shelf
0gjkl,Watch
0gm28,Candy
0grw1,Salad
0gv1x,Parrot
0gxl3,Handgun
0h23m,Sparrow
0h2r6,Van
0h8jyh6,Grinder
0h8kx63,Spice rack
0h8l4fh,Light bulb
0h8lkj8,Corded phone
0h8mhzd,Sports uniform
0h8my_4,Tennis racket
0h8mzrc,Wall clock
0h8n27j,Serving tray
0h8n5zk,Kitchen & dining room table
0h8n6f9,Dog bed
0h8n6ft,Cake stand
0h8nm9j,Cat furniture
0h8nr_l,Bathroom accessory
0h8nsvg,Facial tissue holder
0h8ntjv,Pressure cooker
0h99cwc,Kitchen appliance
0h9mv,Tire
0hdln,Ruler
0hf58v5,Luggage and bags
0hg7b,Microphone
0hkxq,Broccoli
0hnnb,Umbrella
0hnyx,Pastry
0hqkz,Grapefruit
0j496,Band-aid
0jbk,Animal
0jg57,Bell pepper
0jly1,Turkey
0jqgx,Lily
0jwn_,Pomegranate
0jy4k,Doughnut
0jyfg,Glasses
0k0pj,Human nose
0k1tl,Pen
0_k2,Ant
0k4j,Car
0k5j,Aircraft
0k65p,Human hand
0km7z,Skunk
0kmg4,Teddy bear
0kpqd,Watermelon
0kpt_,Cantaloupe
0ky7b,Dishwasher
0l14j_,Flute
0l3ms,Balance beam
0l515,Sandwich
0ll1f78,Shrimp
0llzx,Sewing machine
0lt4_,Binoculars
0m53l,Rays and skates
0mcx2,Ipod
0mkg,Accordion
0mw_6,Willow
0n28_,Crab
0nl46,Crown
0nybt,Seahorse
0p833,Perfume
0pcr,Alpaca
0pg52,Taxi
0ph39,Canoe
0qjjc,Remote control
0qmmr,Wheelchair
0wdt60w,Rugby ball
0xfy,Armadillo
0xzly,Maracas
0zvk5,Helmet
